# Intra-site net delay by site type and BEL pins, generated by IntraSiteDelayTable
# Delays in picoseconds at the slow corner.
# site_type from_bel/pin to_bel/pin slow_max_ps slow_min_ps samples

intrasite_delay
DSP58 DSP_ALUADD/XOR_MX_1_ DSP_OUTPUT/XOR_MX_1_ 0 0 2
DSP58 DSP_ALUADD/XOR_MX_2_ DSP_OUTPUT/XOR_MX_2_ 0 0 1
DSP58 DSP_ALUADD/XOR_MX_7_ DSP_OUTPUT/XOR_MX_7_ 0 0 2
DSP58 DSP_ALUMUX/W_0_ DSP_ALUADD/W_0_ 0 0 1
DSP58 DSP_ALUMUX/W_10_ DSP_ALUADD/W_10_ 0 0 2
DSP58 DSP_ALUMUX/W_12_ DSP_ALUADD/W_12_ 0 0 1
DSP58 DSP_ALUMUX/W_15_ DSP_ALUADD/W_15_ 0 0 1
DSP58 DSP_ALUMUX/W_16_ DSP_ALUADD/W_16_ 0 0 1
DSP58 DSP_ALUMUX/W_17_ DSP_ALUADD/W_17_ 0 0 1
DSP58 DSP_ALUMUX/W_22_ DSP_ALUADD/W_22_ 0 0 2
DSP58 DSP_ALUMUX/W_23_ DSP_ALUADD/W_23_ 0 0 2
DSP58 DSP_ALUMUX/W_28_ DSP_ALUADD/W_28_ 0 0 3
DSP58 DSP_ALUMUX/W_2_ DSP_ALUADD/W_2_ 0 0 1
DSP58 DSP_ALUMUX/W_30_ DSP_ALUADD/W_30_ 0 0 2
DSP58 DSP_ALUMUX/W_32_ DSP_ALUADD/W_32_ 0 0 1
DSP58 DSP_ALUMUX/W_35_ DSP_ALUADD/W_35_ 0 0 2
DSP58 DSP_ALUMUX/W_42_ DSP_ALUADD/W_42_ 0 0 2
DSP58 DSP_ALUMUX/W_43_ DSP_ALUADD/W_43_ 0 0 2
DSP58 DSP_ALUMUX/W_48_ DSP_ALUADD/W_48_ 0 0 3
DSP58 DSP_ALUMUX/W_4_ DSP_ALUADD/W_4_ 0 0 1
DSP58 DSP_ALUMUX/W_50_ DSP_ALUADD/W_50_ 0 0 2
DSP58 DSP_ALUMUX/W_52_ DSP_ALUADD/W_52_ 0 0 1
DSP58 DSP_ALUMUX/W_55_ DSP_ALUADD/W_55_ 0 0 3
DSP58 DSP_ALUMUX/W_56_ DSP_ALUADD/W_56_ 0 0 1
DSP58 DSP_ALUMUX/W_8_ DSP_ALUADD/W_8_ 0 0 1
DSP58 DSP_ALUMUX/X_0_ DSP_ALUADD/X_0_ 0 0 2
DSP58 DSP_ALUMUX/X_10_ DSP_ALUADD/X_10_ 0 0 1
DSP58 DSP_ALUMUX/X_15_ DSP_ALUADD/X_15_ 0 0 3
DSP58 DSP_ALUMUX/X_18_ DSP_ALUADD/X_18_ 0 0 2
DSP58 DSP_ALUMUX/X_1_ DSP_ALUADD/X_1_ 0 0 1
DSP58 DSP_ALUMUX/X_22_ DSP_ALUADD/X_22_ 0 0 3
DSP58 DSP_ALUMUX/X_23_ DSP_ALUADD/X_23_ 0 0 1
DSP58 DSP_ALUMUX/X_28_ DSP_ALUADD/X_28_ 0 0 1
DSP58 DSP_ALUMUX/X_2_ DSP_ALUADD/X_2_ 0 0 2
DSP58 DSP_ALUMUX/X_30_ DSP_ALUADD/X_30_ 0 0 1
DSP58 DSP_ALUMUX/X_35_ DSP_ALUADD/X_35_ 0 0 3
DSP58 DSP_ALUMUX/X_36_ DSP_ALUADD/X_36_ 0 0 1
DSP58 DSP_ALUMUX/X_38_ DSP_ALUADD/X_38_ 0 0 1
DSP58 DSP_ALUMUX/X_3_ DSP_ALUADD/X_3_ 0 0 1
DSP58 DSP_ALUMUX/X_42_ DSP_ALUADD/X_42_ 0 0 3
DSP58 DSP_ALUMUX/X_43_ DSP_ALUADD/X_43_ 0 0 1
DSP58 DSP_ALUMUX/X_48_ DSP_ALUADD/X_48_ 0 0 1
DSP58 DSP_ALUMUX/X_49_ DSP_ALUADD/X_49_ 0 0 1
DSP58 DSP_ALUMUX/X_4_ DSP_ALUADD/X_4_ 0 0 1
DSP58 DSP_ALUMUX/X_50_ DSP_ALUADD/X_50_ 0 0 1
DSP58 DSP_ALUMUX/X_55_ DSP_ALUADD/X_55_ 0 0 3
DSP58 DSP_ALUMUX/X_56_ DSP_ALUADD/X_56_ 0 0 1
DSP58 DSP_ALUMUX/X_5_ DSP_ALUADD/X_5_ 0 0 1
DSP58 DSP_ALUMUX/X_7_ DSP_ALUADD/X_7_ 0 0 1
DSP58 DSP_ALUMUX/Y_0_ DSP_ALUADD/Y_0_ 0 0 3
DSP58 DSP_ALUMUX/Y_10_ DSP_ALUADD/Y_10_ 0 0 1
DSP58 DSP_ALUMUX/Y_15_ DSP_ALUADD/Y_15_ 0 0 1
DSP58 DSP_ALUMUX/Y_16_ DSP_ALUADD/Y_16_ 0 0 2
DSP58 DSP_ALUMUX/Y_17_ DSP_ALUADD/Y_17_ 0 0 1
DSP58 DSP_ALUMUX/Y_18_ DSP_ALUADD/Y_18_ 0 0 1
DSP58 DSP_ALUMUX/Y_22_ DSP_ALUADD/Y_22_ 0 0 2
DSP58 DSP_ALUMUX/Y_23_ DSP_ALUADD/Y_23_ 0 0 1
DSP58 DSP_ALUMUX/Y_24_ DSP_ALUADD/Y_24_ 0 0 1
DSP58 DSP_ALUMUX/Y_27_ DSP_ALUADD/Y_27_ 0 0 1
DSP58 DSP_ALUMUX/Y_2_ DSP_ALUADD/Y_2_ 0 0 2
DSP58 DSP_ALUMUX/Y_30_ DSP_ALUADD/Y_30_ 0 0 1
DSP58 DSP_ALUMUX/Y_35_ DSP_ALUADD/Y_35_ 0 0 1
