# Horizontal wire delay corrections by (template, tile column),
# relative to the RC model. Rows are uniform; x is not.
# key corr_slow_max_ps corr_slow_min_ps samples

hwire_corr
NODE_HDOUBLE:OUT_EE#_E_BEG#@469 5.0 9.1 4
NODE_HDOUBLE:OUT_EE#_E_BEG#@474 -16.9 -11.2 20
NODE_HDOUBLE:OUT_EE#_E_BEG#@479 -3.7 -1.3 37
NODE_HDOUBLE:OUT_EE#_E_BEG#@483 21.2 16.2 5
NODE_HDOUBLE:OUT_EE#_E_BEG#@488 3.5 3.0 39
NODE_HDOUBLE:OUT_EE#_E_BEG#@49 -8.6 -1.5 11
NODE_HDOUBLE:OUT_EE#_E_BEG#@493 0.3 -2.2 36
NODE_HDOUBLE:OUT_EE#_E_BEG#@498 3.5 3.7 31
NODE_HDOUBLE:OUT_EE#_E_BEG#@502 -8.3 -4.8 9
NODE_HDOUBLE:OUT_EE#_E_BEG#@507 -15.7 -10.3 30
NODE_HDOUBLE:OUT_EE#_E_BEG#@512 7.2 3.2 19
NODE_HDOUBLE:OUT_EE#_E_BEG#@516 27.6 19.8 4
NODE_HDOUBLE:OUT_EE#_E_BEG#@521 35.7 24.2 48
NODE_HDOUBLE:OUT_EE#_E_BEG#@527 -7.3 -5.0 27
NODE_HDOUBLE:OUT_EE#_E_BEG#@532 2.7 0.2 17
NODE_HDOUBLE:OUT_EE#_E_BEG#@536 -8.6 -2.5 13
NODE_HDOUBLE:OUT_EE#_E_BEG#@541 -21.4 -12.1 21
NODE_HDOUBLE:OUT_EE#_E_BEG#@546 -1.1 -0.6 34
NODE_HDOUBLE:OUT_EE#_E_BEG#@550 30.6 22.0 5
NODE_HDOUBLE:OUT_EE#_E_BEG#@555 12.7 6.5 12
NODE_HDOUBLE:OUT_EE#_E_BEG#@560 -6.6 -1.9 33
NODE_HDOUBLE:OUT_EE#_E_BEG#@565 4.1 2.7 42
NODE_HDOUBLE:OUT_EE#_E_BEG#@569 0.8 1.1 16
NODE_HDOUBLE:OUT_EE#_E_BEG#@573 6.0 8.7 2
NODE_HDOUBLE:OUT_EE#_E_BEG#@578 4.6 2.4 12
NODE_HDOUBLE:OUT_EE#_E_BEG#@584 -2.7 -1.4 28
NODE_HDOUBLE:OUT_EE#_E_BEG#@588 23.8 14.6 12
NODE_HDOUBLE:OUT_EE#_E_BEG#@592 44.5 30.6 1
NODE_HDOUBLE:OUT_EE#_E_BEG#@597 30.0 19.1 14
NODE_HDOUBLE:OUT_EE#_E_BEG#@603 -7.3 -6.4 24
NODE_HDOUBLE:OUT_EE#_E_BEG#@608 14.1 7.3 26
NODE_HDOUBLE:OUT_EE#_E_BEG#@612 66.4 49.7 2
NODE_HDOUBLE:OUT_EE#_E_BEG#@617 142.6 110.2 5
NODE_HDOUBLE:OUT_EE#_E_BEG#@62 -44.0 -26.3 18
NODE_HDOUBLE:OUT_EE#_E_BEG#@621 -2.6 -2.7 11
NODE_HDOUBLE:OUT_EE#_E_BEG#@626 7.2 2.5 7
NODE_HDOUBLE:OUT_EE#_E_BEG#@630 -0.4 -0.2 23
