# Per-node clock delay, fitted by ClkNodeFit
# part: xcv80-lsva4737-2MHP-e-S
# term slow_max_ps slow_min_ps

clock_deskew vdistr extent

clock_node_delay  # trunk node instance + leaf type
CLK_REBUF_VERT_SSIT_MB_BAO_TILE_X81Y183/IF_WRAP_CLK_V_BOT_CLK_VDISTR# 119.54 105.80
CLK_REBUF_VERT_SSIT_MB_BAO_TILE_X81Y183/IF_WRAP_CLK_V_BOT_CLK_VROUTE# 314.21 277.22
CLK_REBUF_VERT_SSIT_MB_CBO_TILE/CLK_CMT_MUX_#TO#_#_CLK_OUT 113.65 99.14
CLK_REBUF_VERT_SSIT_MB_CBO_TILE_X81Y423/IF_WRAP_CLK_V_BOT_CLK_VDISTR# 56.83 49.57
CLK_REBUF_VERT_SSIT_MB_CBO_TILE_X81Y423/IF_WRAP_CLK_V_BOT_CLK_VROUTE# 119.58 105.45
CLK_REBUF_VERT_SSIT_MB_CBO_TILE_X81Y711/IF_WRAP_CLK_V_BOT_CLK_VDISTR# 10.31 9.71
CLK_REBUF_VERT_SSIT_MB_CBO_TILE_X81Y711/IF_WRAP_CLK_V_BOT_CLK_VDISTR_LEV3_# -1.17 -2.03
CLK_REBUF_VERT_SSIT_MB_CBO_TILE_X81Y711/IF_WRAP_CLK_V_BOT_CLK_VROUTE# -209.74 -179.58
CLK_REBUF_VERT_SSIT_MT_ACO_TILE/CLK_CMT_MUX_#TO#_#_CLK_OUT 150.18 131.93
CLK_REBUF_VERT_SSIT_MT_ACO_TILE_X81Y279/IF_WRAP_CLK_V_BOT_CLK_VDISTR# 51.36 44.89
CLK_REBUF_VERT_SSIT_MT_ACO_TILE_X81Y279/IF_WRAP_CLK_V_BOT_CLK_VROUTE# 194.67 171.42
CLK_REBUF_VERT_SSIT_MT_BAO_TILE/CLK_CMT_MUX_#TO#_#_CLK_OUT -29.33 -26.94
CLK_REBUF_VERT_SSIT_MT_BAO_TILE_X81Y519/IF_WRAP_CLK_V_BOT_CLK_VDISTR# 198.01 171.19
CLK_REBUF_VERT_SSIT_MT_BAO_TILE_X81Y519/IF_WRAP_CLK_V_BOT_CLK_VROUTE# 62.76 55.88
CLK_REBUF_VERT_SSIT_MT_BAO_TILE_X81Y807/CLK_VDISTR_LEV3_BOT# -1.17 -2.03
CLK_REBUF_VERT_SSIT_MT_BAO_TILE_X81Y807/IF_WRAP_CLK_V_BOT_CLK_VDISTR# -63.78 -53.61
CLK_REBUF_VERT_SSIT_MT_BAO_TILE_X81Y807/IF_WRAP_CLK_V_BOT_CLK_VDISTR_LEV1_# -1.17 -2.03
CLK_REBUF_VERT_SSIT_MT_BAO_TILE_X81Y807/IF_WRAP_CLK_V_BOT_CLK_VROUTE# -209.74 -179.58
CLK_REBUF_VERT_SSIT_TOP_AOO_TILE/CLK_CMT_MUX_#TO#_#_CLK_OUT 148.97 128.54
CLK_REBUF_VERT_SSIT_TOP_AOO_TILE_X81Y615/IF_WRAP_CLK_V_BOT_CLK_VDISTR# 65.35 56.60
CLK_REBUF_VERT_SSIT_TOP_AOO_TILE_X81Y615/IF_WRAP_CLK_V_BOT_CLK_VROUTE# -135.25 -115.31
CLK_REBUF_VERT_SSIT_TOP_COO_TILE_X81Y327/IF_WRAP_CLK_V_BOT_CLK_VDISTR# 23.73 21.08
CLK_REBUF_VERT_SSIT_TOP_COO_TILE_X81Y327/IF_WRAP_CLK_V_BOT_CLK_VROUTE# 119.58 105.45
CLK_VERT_TO_HSR_GT_OCO_TILE_X130Y0/CLK_HROUTE# 36.44 28.60
CLK_VERT_TO_HSR_VNOC_OCO_TILE_X109Y0/CLK_HROUTE# 254.88 222.70
CLK_VERT_TO_HSR_VNOC_OCO_TILE_X25Y0/CLK_HROUTE# 25.86 13.65
CLK_VERT_TO_HSR_VNOC_OCO_TILE_X53Y0/CLK_HROUTE# 188.64 163.15
CLK_VERT_TO_HSR_VNOC_OCO_TILE_X81Y0/CLK_HROUTE# 74.23 54.39
CLK_VNOC_PSS_SSIT_BOT_CCO_TILE_X25Y383/CLKE2_PD_OPT_DELAY_SSIT_#_I 94.75 93.66
CLK_VNOC_PSS_SSIT_BOT_CCO_TILE_X25Y671/CLKE2_PD_OPT_DELAY_SSIT_#_I 90.81 87.24
CLK_VNOC_PSS_SSIT_HSR_CCO_TILE_X25Y47/CLKE2_PD_OPT_DELAY_SSIT_#_I 98.57 94.81
CLK_VNOC_PSS_SSIT_MB_BBO_TILE_X25Y143/CLKE2_PD_OPT_DELAY_SSIT_#_I 108.76 103.26
CLK_VNOC_PSS_SSIT_MT_AAO_TILE_X25Y239/CLKE2_PD_OPT_DELAY_SSIT_#_I 62.75 60.96
